State,Zip Code,Phone,Fax,,,,
WA,98902,509574-3863,509249-5319,,,,
Air Post Office,AE,9604,3.90434E+11,3904343,,,
AP,96319-5300,8.13118E+11,8117677,,,,
AP,96328,425522510,425302026,,,,
IL,62225-5252,618256-1494,618256-7253,,,,
Butte,MT,59701,406299-3302,406299-3304,,,
IL,60053,847213-2700,847213-2709,,,,
AE,09461-5115,4.41639E+11,4416385,,,,
Luke AFB,AZ,85309-1525,623856-7618,623856-4009,,,
OH,45433,937257-2168,937257-5229,,,,
NC,28602,828345-0800,828485-5579,,,,
Naples,FL,34110,239513-0053,239596-0900,,,
NY,13820,607431-5015,607431-5102,,,,
SC,29620,864366-33193,864366-3373,,,,
LA,70515,337898-1249,337892-1238,,,,
Minneapolis,MN,55407-3799,612863-1248,612863-3286,,,
TN,37909,865584-3444,865824-0038,,,,
Willow Grove,PA,19090,215481-3926,215481-5416,,,
PA,18974,215481-3926,215481-6916,,,,
PA,19422,215481-3926,215481-5416,,,,
PA,19446,215361-4862,215361-4641,,,,
PA,19001,215481-3926,215481-2183,,,,
LA,70548,337643-5277,337643-5230,,,,
Gulfport,MS,39503,228867-4395,228867-4288,,,
LA,70518,337703-6441,337703-6430,,,,
FL,32034,904277-2700,904277-2220,,,,
FL,32223,904880-55222146,904880-5533,,,,
AZ,85741,520547-3940,520547-3945,,,,
Houston,TX,77027,713980-7900,713600-1786,,,
Houston,TX,77015,713848-4790,,,,
IA,50849,641743-7211,641743-7218,,,,
OH,45679,937386-34003460,937386-3489,,,,
IN,46733,260724-214511080,260728-3856,,,,
MA,1930,978283-4000123,978491-6576,,,,
OH,43160,740333-2743,740333-2937,,,,
OH,45601,740779-7711,740779-7406,,,,
OH,45690,740779-8221,740779-7406,,,,
OH,45601,740779-7711,740779-7406,,,,
NY,12983,518891-41412750,518897-2260,,,,
NY,12804,518793-1000,518793-1976,,,,
TX,75071,972542-8884,972746-2422,,,,
FL,33165-7021,305270-7855,305270-7857,,,,
FL,33859,863419-8832,863508-6314,,,,
Winter Haven,FL,33880,863421-9393,863295-5719,,,
Davenport,FL,33837,863421-8674,863421-2615,,,
VA,23229,804200-7035,804289-5679,,,,
Cumberland,MD,21502,301777-3522,301777-1902,,,
MT,59870,406327-3950,406327-3955,,,,
MT,59804,406327-3950,406327-3955,,,,
MT,59808,406327-5120,406327-3855,,,,
CA,93551,661456-2020,661456-2021,,,,
CA,95240,209339-7505,209333-8263,,,,
Moline,IL,61265,309743-0445126,309764-4712,,,
FL,34613,352597-0016,352597-0089,,,,
AL,36207,256835-0835,256835-1939,,,,
AL,35901,256549-0008,256543-0514,,,,
PA,18512,570504-2500,570504-2599,,,,
MT,59718,406414-5201,406414-5205,,,,
Bozeman,MT,59715,406414-5200,406414-5205,,,
TX,78501,956686-8422,956661-2135,,,,
IN,46902,765454-9729,765454-9766,,,,
NE,68506,402484-6677,402484-4802,,,,
CA,93704,559835-070060704,559835-0728,,,,
NJ,7630,201894-3146,201608-2413,,,,
Vega Baja,PR,693,787807-0900,787855-2729,,,
Ellicott City,MD,21042,443436-1600,443436-1602,,,
Glen Burnie,MD,21061,410918-3260,410918-3262,,,
Annapolis,MD,21401,888972-9700,443436-4875,,,
MD,21076,443729-8100,443729-8102,,,,
MD,21222,410918-3150,410918-3161,,,,
Eldersburg,MD,21784,443436-1300,443436-7132,,,
MD,21204,410580-2301,410580-2321,,,,
Glen Burnie,MD,21061,888972-9700,443663-6980,,,
MD,21015,443640-2501,410918-3302,,,,
Lutherville,MD,21093,410580-2240,410580-2270,,,
Baltimore,MD,21237,410918-3460,410918-3431,,,
MD,21117,888972-9700,410654-1166,,,,
MD,21236,443588-6221,410918-3359,,,,
MD,21204,410580-6000,410427-2552,,,,
Timonium,MD,21093,443436-4700,443436-4780,,,
CT,6824,203337-9729,203459-0116,,,,
CT,6902,203337-9729,203459-0116,,,,
CT,6614,203337-9729,203459-0116,,,,
Ft. Myers,FL,33912,239333-2742,239333-4329,,,
Rosemead,CA,91770,626280-0431,626280-6840,,,
MD,21228,410747-9303,443514-1290,,,,
Baltimore,MD,21208,410580-2100,410580-2170,,,
Westminster,MD,21157,443487-5701,443436-1328,,,
MD,21108,443308-0300,410987-0251,,,,
CT,06897-4457,203337-9729,203459-0116,,,,
Northfield,NJ,8225,609380-4175,609377-8249,,,
GA,30094,844337-2837,706608-8296,,,,
